Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-09-27,MFP iOS calorie adjustment,Cardio,68.0,1,,,,3416,
2024-09-28,MFP iOS calorie adjustment,Cardio,121.0,1,,,,5258,
2024-09-29,MFP iOS calorie adjustment,Cardio,81.0,1,,,,3874,
2024-09-30,MFP iOS calorie adjustment,Cardio,40.0,1,,,,1546,
2024-10-01,MFP iOS calorie adjustment,Cardio,110.0,1,,,,4671,
2024-10-02,MFP iOS calorie adjustment,Cardio,63.0,1,,,,2918,
2024-10-03,MFP iOS calorie adjustment,Cardio,126.0,1,,,,5046,
2024-10-04,MFP iOS calorie adjustment,Cardio,110.0,1,,,,4616,
2024-10-05,MFP iOS calorie adjustment,Cardio,177.0,1,,,,7430,
2024-10-06,MFP iOS calorie adjustment,Cardio,7.0,1,,,,636,
2024-10-07,MFP iOS calorie adjustment,Cardio,8.0,1,,,,707,
2024-10-08,MFP iOS calorie adjustment,Cardio,131.0,1,,,,5590,
2024-10-09,MFP iOS calorie adjustment,Cardio,24.0,1,,,,1259,
2024-10-10,MFP iOS calorie adjustment,Cardio,151.0,1,,,,6258,
2024-10-11,MFP iOS calorie adjustment,Cardio,92.0,1,,,,4081,
2024-10-12,MFP iOS calorie adjustment,Cardio,169.0,1,,,,6821,
2024-10-13,MFP iOS calorie adjustment,Cardio,143.0,1,,,,6015,
2024-10-14,MFP iOS calorie adjustment,Cardio,76.0,1,,,,3338,
2024-10-15,MFP iOS calorie adjustment,Cardio,96.0,1,,,,4369,
2024-10-16,MFP iOS calorie adjustment,Cardio,36.0,1,,,,1994,
