Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-10-07,Breakfast,479.4,21.3,8.7,2.3,5.3,0.0,475.6,375.0,867.6,21.7,0.0,19.8,48.0,2.0,1.6,56.0,12.3,
2024-10-07,Dinner,838.0,41.8,7.9,12.0,2.5,0.5,0.0,422.6,930.0,53.8,9.2,6.8,65.6,20.0,66.0,20.0,50.0,
2024-10-07,Lunch,434.0,12.4,3.3,2.5,4.3,0.0,126.1,467.8,1226.5,45.2,6.7,27.2,38.6,5.0,198.0,6.5,9.8,
2024-10-07,Snacks,31.5,0.2,0.0,0.1,0.1,0.0,0.0,9.8,91.5,7.6,1.1,6.3,0.7,0.0,5.1,0.3,1.4,
2024-10-08,Breakfast,437.7,29.2,8.6,4.5,13.6,0.0,574.8,302.3,935.6,18.0,5.0,10.8,27.0,0.0,13.3,34.5,17.2,
2024-10-08,Dinner,838.0,41.8,7.9,12.0,2.5,0.5,0.0,422.6,930.0,53.8,9.2,6.8,65.6,20.0,66.0,20.0,50.0,
2024-10-08,Lunch,918.7,21.1,6.4,5.5,5.7,0.2,115.8,238.4,2379.0,131.4,10.8,78.9,52.6,63.3,71.0,30.4,14.5,
2024-10-08,Snacks,31.5,0.2,0.0,0.1,0.1,0.0,0.0,9.8,91.5,7.6,1.1,6.3,0.7,0.0,5.1,0.3,1.4,
2024-10-09,Breakfast,437.7,29.2,8.6,4.5,13.6,0.0,574.8,302.3,935.6,18.0,5.0,10.8,27.0,0.0,13.3,34.5,17.2,
2024-10-09,Dinner,679.0,38.9,11.5,12.0,2.5,0.5,49.8,494.7,930.0,24.0,6.0,5.0,58.9,20.0,66.0,22.0,60.0,
2024-10-09,Lunch,942.7,34.2,9.4,6.2,9.1,0.0,70.3,816.3,1530.7,103.2,12.7,41.2,32.8,7.0,36.1,38.3,86.3,
2024-10-10,Breakfast,334.5,25.3,6.3,4.3,12.8,0.0,558.0,218.3,570.8,7.5,5.0,1.1,20.3,0.0,12.5,9.3,16.9,
2024-10-10,Dinner,469.1,36.9,15.1,0.0,0.0,0.0,83.8,125.7,0.0,0.0,0.0,0.0,31.8,0.0,0.0,3.4,16.8,
2024-10-10,Lunch,1300.0,42.2,11.8,11.6,15.3,0.0,102.4,1376.4,1998.5,126.8,20.9,34.2,44.4,9.5,41.0,51.6,182.6,
2024-10-10,Snacks,210.0,8.3,5.1,0.0,0.0,0.0,0.0,0.2,0.0,21.7,2.7,1.9,20.0,0.0,0.0,0.0,0.0,
2024-10-11,Breakfast,408.5,29.4,8.9,4.3,12.8,0.0,558.0,218.3,570.8,13.1,5.0,6.5,24.2,0.0,12.5,9.3,16.9,
2024-10-11,Dinner,700.5,44.6,18.8,0.0,0.0,0.0,79.4,119.5,0.0,31.0,11.0,0.0,50.2,0.0,0.0,3.2,15.9,
2024-10-11,Lunch,1117.0,21.8,4.7,8.6,5.7,0.0,0.0,570.8,1462.9,136.3,23.8,36.6,29.1,10.0,47.3,26.2,192.0,
2024-10-12,Breakfast,447.7,22.2,8.0,3.1,6.3,0.0,644.8,362.0,571.8,11.6,0.0,10.3,47.5,2.0,0.8,33.6,16.9,
2024-10-12,Dinner,452.5,17.2,2.6,12.0,2.5,0.5,0.0,420.6,1141.2,37.5,7.5,12.2,40.6,22.5,74.6,20.3,50.9,
2024-10-12,Lunch,1049.0,61.5,14.7,9.1,6.0,0.0,450.0,526.2,1052.4,32.6,3.1,19.8,68.2,5.0,17.1,0.6,39.2,
2024-10-12,Snacks,285.0,15.8,6.6,0.0,4.5,0.0,0.0,990.2,0.0,24.7,2.7,1.9,20.0,0.0,0.0,0.0,0.0,
